Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
sa	w27c	Von	VOn	von	APPR
sa	w27d	Gottes	GOttes	Gott	NN
sa	w27e	Gnaden	Gnaden	Gnade	NN
sa	w27f	Wir	Wir	wir	PPER
sa	w280	Rudolph	Rudolph	Rudolph	NE
sa	w281	Augusts	Auguſts	August	NE
sa	w282	und	und	und	KON
sa	w283	Anthon	Anthon	Anthon	NE
sa	w284	Ulrich	Ulrich	Ulrich	NE
sa	w285	/	/	/	$(
sa	w286	Gebrüdere	Gebruͤdere	Gebrüdere	NN
sa	w287	/	/	/	$(
sa	w288	Herzoge	Hertzoge	Herzog	NN
sa	w289	zu	zu	zu	APPR
sa	w28a	Braunschweig	Braunſchweig	Braunschweig	NE
sa	w28b	und	und	und	KON
sa	w28c	Lüneburg	Luͤneburg	Lüneburg	NE
sa	w28d	/	/	/	$(
sa	w28e	etc	ꝛc	et_cetera	ADV
sa	w28f	.	.	.	$.
s1	w1	Fügen	Fuͤgen	Fügen	NN
s1	w2	hiermit	hiemit	hiermit	PAV
s1	w3	zuwissen	zuwiſſen	zuwissen	VVINF
s1	w4	/	/	/	$(
s1	w5	daß	daß	daß	KOUS
s1	w6	ob	ob	ob	KOUS
s1	w7	Wir	Wir	wir	PPER
s1	w8	wohl	wohl	wohl	ADV
s1	w9	Uns	Uns	wir	PPER
s1	wa	billig	billig	billig	ADJD
s1	wb	versehen	verſehen	versehen	VVPP
s1	wc	/	/	/	$(
s1	wd	es	es	es	PPER
s1	we	würde	wuͤrde	werden	VAFIN
s1	wf	denen	denen	die	PDS
s1	w10	so	ſo	so	ADV
s1	w11	wohl	wol	wohl	ADV
s1	w12	von	von	von	APPR
s1	w13	Unseren	Unſern	unsere	PPOSAT
s1	w14	in	in	in	APPR
s1	w15	Gott	Gott	Gott	NN
s1	w16	ruhenden	ruhenden	ruhend	ADJA
s1	w17	Vorfahren	Vorfahren	Vorfahr	NN
s1	w18	als	als	als	KOKOM
s1	w19	Uns	Uns	wir	PPER
s1	w1a	selbst	ſelbſten	selbst	ADV
s1	w1b	wieder	wieder	wieder	ADV
s1	w1c	die	die	d	ART
s1	w1d	herum	herum	herum	APZR
s1	w1e	streifende	ſtreiffende	streifend	ADJA
s1	w1f	so	ſo	so	ADV
s1	w20	genante	genante	genant	ADJA
s1	w21	Zigeuner	Zigeuner	Zigeuner	NN
s1	w22	oder	oder	oder	KON
s1	w23	Tartaren	Tartarn	Tartar	NN
s1	w24	vielfältig	vielfaͤltig	vielfältig	ADJD
s1	w25	publizierten	publicirten	publiziert	ADJA
s1	w26	und	und	und	KON
s1	w27	bereits	bereits	bereits	ADV
s1	w28	zu	zu	zu	PTKZU
s1	w29	zweien	zweyen	zweien	VVINF
